CURSO,CURRICULO,COD_DISCIPLINA,NOME,SITUACAO_CURRICULO,TIPO,CH,ESTAGIO_CONCLUINTE,PERIODO_IDEAL
11104100,1978,1112001,ANÁLISE ERGONÔMICA (SDI),I,Normais,30,,
11104100,1978,1304027,ATLETISMO - MASC,I,Normais,30,,
11104100,1978,1304122,BASQUETE   MASC/FEM,I,Normais,30,,
11104100,1978,1304025,BASQUETEBOL - FEM,I,Normais,30,,
11104100,1978,1304013,BASQUETEBOL - MASC,I,Normais,30,,
11104100,1978,1105064,CARPINTARIA I,I,Normais,30,,
11104100,1978,1112002,CARPINTARIA I,I,Normais,30,,
11104100,1978,1105065,CARPINTARIA II,I,Normais,30,,
11104100,1978,1112003,CARPINTARIA II,I,Normais,30,,
11104100,1978,1112004,COMPUTAÇÃO APL. AO DESIGN (SDI),I,Normais,60,,
11104100,1978,1105014,CONTROLE DE QUALIDADE,I,Normais,60,,
11104100,1978,1112086,COR APL AO DES INDUSTRIAL(SDI),I,Normais,60,,
11104100,1978,1112087,COR APL DESING INTERIORES (SDI,I,Normais,60,,
11104100,1978,1112098,CRIATIVIDADE (SDI),I,Normais,60,,
11104100,1978,1112006,DES DE OBS E MODELO VIVO (SDI),I,Normais,90,,
11104100,1978,1105058,DES PROJETO D. INDUSTRIAL IX,I,Normais,60,,
11104100,1978,1105055,DES. PROJETO D. INDUSTRIAL VI,I,Normais,60,,
11104100,1978,1105057,DES PROJETO D. INDUSTRIAL VIII,I,Normais,60,,
11104100,1978,1105050,DES PROJETO DES INDUSTRIAL I,I,Normais,60,,
11104100,1978,1105051,DES PROJETO DES INDUSTRIAL II,I,Normais,60,,
11104100,1978,1105052,DES PROJETO DES INDUSTRIAL III,I,Normais,60,,
11104100,1978,1105053,DES PROJETO DES INDUSTRIAL IV,I,Normais,60,,
11104100,1978,1105054,DES PROJETO DES INDUSTRIAL V,I,Normais,60,,
11104100,1978,1105056,DES PROJETO DES INDUSTRIAL VII,I,Normais,60,,
11104100,1978,1105075,DESENHO AMBIENTAL,I,Normais,30,,
11104100,1978,1105038,DESENHO DE APRESENTAÇÃO,I,Normais,60,,
11104100,1978,1112005,DESENHO DE APRESENTAÇÃO,I,Normais,60,,
11104100,1978,1105024,DESENHO DE MÁQUINAS,I,Normais,75,,
11104100,1978,1105039,DESENHO GEOMETRICO,I,Normais,60,,
11104100,1978,1112103,DESENHO RAPIDO - CROQUIS  (SDI),I,Normais,30,,
11104100,1978,1105181,DESENHO TÉCNICO,I,Normais,75,,
11104100,1978,1105037,DESENHO TÉCNICO APL. AO DES. INDUSTRIAL,I,Normais,60,,
11104100,1978,1105325,DESENHO TÉCNICO E PERSPECTIVA,I,Normais,60,,
11104100,1978,1112007,DESENHO TÉCNICO E PERSPECTIVA (SDI),I,Normais,90,,
11104100,1978,1112112,DESENHO TÉCNICO E PERSPECTIVA (SDI),I,Normais,60,,
11104100,1978,1112008,DESENV. DE PROJETO DE DI I,I,Normais,60,,
11104100,1978,1112009,DESENV. DE PROJETO DE DI II,I,Normais,60,
11104100,1978,1112010,DESENV. DE PROJETO DE DI III,I,Normais,60,
11104100,1978,1112011,DESENV. DE PROJETO DE DI IV,I,Normais,60,
11104100,1978,1112016,DESENV. DE PROJETO DE DI IX,I,Normais,60,
11104100,1978,1112012,DESENV. DE PROJETO DE DI V,I,Normais,60,
11104100,1978,1112013,DESENV. DE PROJETO DE DI VI,I,Normais,60,
11104100,1978,1112014,DESENV. DE PROJETO DE DI VII,I,Normais,60,
11104100,1978,1112015,DESENV. DE PROJETO DE DI VIII,I,Normais,60,
11104100,1978,1112088,DESIGN DA IDEIA AO MERCADO(SDI,I,Normais,30,
11104100,1978,1112017,DESIGN DE AUTOMOVEIS (SDI),I,Normais,60,
11104100,1978,1112018,DESIGN DE INTERIORES (SDI),I,Normais,45,
11104100,1978,1112019,ECOLOGIA APLIC AO DESIGN (SDI),I,Normais,30,
11104100,1978,1303012,ECONOMIA BRASILEIRA,I,Normais,60,
11104100,1978,1303022,ECONOMIA DOS RECURSOS NATURAIS,I,Normais,60,
11104100,1978,1303015,ECONOMIA REGIONAL,I,Normais,60,
11104100,1978,1304009,EDUCAÇÃO FÍSICA,I,Normais,30,
11104100,1978,1112020,EMBALAGEM (SDI),I,Normais,30,
11104100,1978,1112089,EMPREENDEDORISMO (SDI),I,Normais,30,
11104100,1978,1112113,EMPREENDEDORISMO (SDI),I,Normais,60,
11104100,1978,1112021,ENCADERNAÇÃO (SDI),I,Normais,60,
11104100,1978,1112120,ERGONOMIA & DESIGN (SDI),I,Normais,60,
11104100,1978,1105046,ERGONOMIA E SEG INDUSTRIAL I,I,Normais,60,
11104100,1978,1105082,ERGONOMIA E SEG.INDUSTRIAL II,I,Normais,60,
11104100,1978,1112022,ERGONOMIA (SDI),I,Normais,120,
11104100,1978,1112121,EST  SUP I - DESIGN VERNACULAR (SDI),I,Normais,50,
11104100,1978,1305039,EST DE PROBL BRASILEIROS I,I,Normais,30,
11104100,1978,1305040,EST DE PROBL BRASILEIROS II,I,Normais,30,
11104100,1978,1112023,EST INTEGR E/OU PROJ ORIENTADO,I,Normais,320,
11104100,1978,1105081,EST INTEGRADO E/OU PROJ ORIENT,I,Normais,320,
11104100,1978,1112123,EST SUP II - DESIGN & TECNOLOGIA (SDI),I,Normais,50,
11104100,1978,1105068,ESTATIST APL DES INDUSTRIAL,I,Normais,60,
11104100,1978,1114085,ESTATÍSTICA APLICADA AO DI,I,Normais,60,
11104100,1978,1112024,ESTETICA APLIC AO DESIGN (SDI),I,Normais,60,
11104100,1978,1105012,ESTUDO DE TEMPOS E MOVIMENTOS,I,Normais,60,
11104100,1978,1112114,EXPRESSAO BI (SDI),I,Normais,60,
11104100,1978,1112111,EXPRESSAO TRI - I (SDI),I,Normais,60,
11104100,1978,1112115,EXPRESSAO TRI II (SDI),I,Normais,60,
11104100,1978,1112027,EXPRESSAO TRIDIMENSIONAL II,I,Normais,90,
11104100,1978,1112026,EXPRESSAO TRIDIMENSIONAL I(SDI,I,Normais,90,
11104100,1978,1112028,FASHION DESIGN (SDI),I,Normais,60,
11104100,1978,1108013,FÍSICA APL DES INDUSTRIAL I,I,Normais,30,
11104100,1978,1108014,FÍSICA APL DES INDUSTRIAL II,I,Normais,30,
11104100,1978,1108058,FÍSICA (SDI),I,Normais,60,
11104100,1978,1112090,FOTOGRAFIA  B P (SDI),I,Normais,15,
11104100,1978,1112030,FOTOGRAFIA DO PRODUTO (SDI),I,Normais,60,
11104100,1978,1112116,FOTOGRAFIA EM DESIGN (SDI),I,Normais,60,
11104100,1978,1105059,FOTOGRAFIA I,I,Normais,30,
11104100,1978,1112031,FOTOGRAFIA I,I,Normais,30,
11104100,1978,1105060,FOTOGRAFIA II,I,Normais,30,
11104100,1978,1112032,FOTOGRAFIA II,I,Normais,30,
11104100,1978,1112029,FOTOGRAFIA (SDI),I,Normais,120,
11104100,1978,1307009,FRANCES,I,Normais,75,
11104100,1978,1304172,FUTEBOL MASCULINO,I,Normais,30,
11104100,1978,1304055,FUTSAL,I,Normais,30,
